39,4,176279,9,13,0,12,1,4,0,0,0,40,39,0
43,6,52498,9,13,4,10,4,4,0,0,0,50,39,0
45,6,31478,9,13,2,12,0,4,1,2829,0,60,39,0
21,4,176356,7,12,4,1,3,4,0,0,0,20,39,0
59,4,131916,11,9,2,7,5,4,0,0,0,40,22,1
44,5,359259,11,9,0,3,1,4,1,0,0,60,32,0
50,4,27484,11,9,2,4,0,4,1,0,0,50,39,1
25,4,462869,11,9,4,6,2,4,1,0,0,40,26,0
25,2,192321,9,13,4,10,3,4,0,0,0,40,39,0
55,6,141807,9,13,2,4,0,4,1,0,0,40,39,1
22,4,102632,11,9,4,3,1,4,1,0,0,41,39,0
27,4,106935,15,10,5,12,1,4,1,0,0,40,39,0
53,4,257940,11,9,2,7,0,4,1,2829,0,40,39,0
77,4,154205,11,9,6,1,1,4,0,0,0,10,39,0
40,4,272343,11,9,2,1,5,4,0,0,0,40,39,1
61,7,162678,4,3,2,14,0,4,1,0,0,40,39,0
53,1,266598,11,9,2,10,0,4,1,0,0,40,39,1
35,4,376455,15,10,2,4,0,4,1,15024,0,60,39,1
50,4,196193,12,14,3,10,2,4,1,0,0,60,0,0
52,4,139671,15,10,2,4,0,4,1,0,1977,50,39,1
63,0,156799,11,9,6,0,1,4,0,0,0,4,39,0
18,4,120781,0,6,4,8,3,4,1,0,0,20,39,0
30,4,312667,15,10,2,3,0,4,1,0,0,40,39,0
62,0,129246,11,9,2,0,0,4,1,0,0,40,39,0
49,4,98010,9,13,0,10,1,4,0,0,0,50,39,0
31,4,286406,11,9,4,4,1,4,1,3325,0,40,39,0
40,4,191544,11,9,4,8,1,4,0,0,0,35,39,0
39,6,50096,15,10,2,5,0,4,1,0,0,80,39,0
46,4,133616,15,10,0,1,4,4,0,0,0,40,39,0
40,4,111829,12,14,4,1,3,4,0,0,0,40,39,0
41,4,124956,9,13,5,10,1,2,0,99999,0,60,39,1
65,0,240857,9,13,2,0,0,4,1,0,2377,40,39,1
36,4,162651,11,9,5,1,1,4,1,0,0,40,4,0
46,7,394860,9,13,2,10,0,4,1,0,0,38,39,0
33,4,279173,11,9,2,10,0,4,1,0,0,60,39,0
51,7,167065,11,9,2,4,0,4,1,0,0,40,39,0
23,4,121650,4,3,4,6,4,4,1,0,0,30,39,0
54,4,37237,9,13,2,10,0,4,1,0,0,40,39,1
25,2,348986,11,9,4,6,2,2,1,0,0,40,39,0
44,2,65145,11,9,2,10,0,4,1,0,0,30,39,0
30,4,227551,11,9,2,14,0,4,1,0,0,40,39,0
49,4,207677,5,4,0,3,1,4,1,0,0,70,39,0
25,4,25386,8,11,4,8,4,0,0,0,0,40,39,0
55,4,80167,9,13,0,10,4,4,0,0,0,40,39,0
22,4,228306,15,10,1,8,5,4,0,0,0,40,39,1
37,4,385452,0,6,0,3,4,4,0,0,0,40,39,0
29,4,247151,1,7,0,7,4,4,0,0,0,40,39,0
32,4,197457,11,9,0,13,4,4,0,1471,0,38,39,0
